id,name,localName,aliases,country,countryName,registrationNumber,status,address,foundedAt,legalForm,industry,registeredCapital,isSynthetic,dataClassification,testBatch
"SQJ-SYN-CN-0001","Asterbridge Analytics Co., Ltd.","星桥数据科技有限公司","星桥数据科技 | Asterbridge Analytics","CN","中国大陆","91340100SQJ000001","ACTIVE","合肥市商情测试路 101 号","2007-02-02","有限责任公司","企业软件服务","CNY 200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0002","Blueharbor Analytics Co., Ltd.","蓝港数据科技有限公司","蓝港数据科技 | Blueharbor Analytics","CN","中国大陆","91340100SQJ000002","ACTIVE","上海市商情测试路 102 号","2008-03-03","有限责任公司","智能制造","CNY 300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0003","Cedarwave Analytics Co., Ltd.","云杉数据科技有限公司","云杉数据科技 | Cedarwave Analytics","CN","中国大陆","91340100SQJ000003","ACTIVE","深圳市商情测试路 103 号","2009-04-04","有限责任公司","新能源技术","CNY 400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0004","Dawnfield Analytics Co., Ltd.","晨野数据科技有限公司","晨野数据科技 | Dawnfield Analytics","CN","中国大陆","91340100SQJ000004","ACTIVE","杭州市商情测试路 104 号","2010-05-05","有限责任公司","医疗器械","CNY 500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0005","Evertrail Analytics Co., Ltd.","远航数据科技有限公司","远航数据科技 | Evertrail Analytics","CN","中国大陆","91340100SQJ000005","ACTIVE","合肥市商情测试路 105 号","2011-06-06","有限责任公司","企业软件服务","CNY 600000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0006","Farsight Analytics Co., Ltd.","观澜数据科技有限公司","观澜数据科技 | Farsight Analytics","CN","中国大陆","91340100SQJ000006","ACTIVE","上海市商情测试路 106 号","2012-07-07","有限责任公司","智能制造","CNY 700000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0007","Greenorbit Analytics Co., Ltd.","绿环数据科技有限公司","绿环数据科技 | Greenorbit Analytics","CN","中国大陆","91340100SQJ000007","ACTIVE","深圳市商情测试路 107 号","2013-08-08","有限责任公司","新能源技术","CNY 800000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0008","Highcrest Analytics Co., Ltd.","高岭数据科技有限公司","高岭数据科技 | Highcrest Analytics","CN","中国大陆","91340100SQJ000008","ACTIVE","杭州市商情测试路 108 号","2014-09-09","有限责任公司","医疗器械","CNY 900000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0009","Ironleaf Analytics Co., Ltd.","铁杉数据科技有限公司","铁杉数据科技 | Ironleaf Analytics","CN","中国大陆","91340100SQJ000009","ACTIVE","合肥市商情测试路 109 号","2015-10-10","有限责任公司","企业软件服务","CNY 1000000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0010","Juniper Analytics Co., Ltd.","知行数据科技有限公司","知行数据科技 | Juniper Analytics","CN","中国大陆","91340100SQJ000010","ACTIVE","上海市商情测试路 110 号","2016-11-11","有限责任公司","智能制造","CNY 1100000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0011","Keystone Analytics Co., Ltd.","基石数据科技有限公司","基石数据科技 | Keystone Analytics","CN","中国大陆","91340100SQJ000011","ACTIVE","深圳市商情测试路 111 号","2017-12-12","有限责任公司","新能源技术","CNY 1200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0012","Lumenpath Analytics Co., Ltd.","明径数据科技有限公司","明径数据科技 | Lumenpath Analytics","CN","中国大陆","91340100SQJ000012","ACTIVE","杭州市商情测试路 112 号","2018-01-13","有限责任公司","医疗器械","CNY 1300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0013","Moonridge Analytics Co., Ltd.","月岚数据科技有限公司","月岚数据科技 | Moonridge Analytics","CN","中国大陆","91340100SQJ000013","ACTIVE","合肥市商情测试路 113 号","2019-02-14","有限责任公司","企业软件服务","CNY 1400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0014","Nexora Analytics Co., Ltd.","新域数据科技有限公司","新域数据科技 | Nexora Analytics","CN","中国大陆","91340100SQJ000014","ACTIVE","上海市商情测试路 114 号","2020-03-15","有限责任公司","智能制造","CNY 1500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0015","Oakline Analytics Co., Ltd.","橡澜数据科技有限公司","橡澜数据科技 | Oakline Analytics","CN","中国大陆","91340100SQJ000015","ACTIVE","深圳市商情测试路 115 号","2021-04-16","有限责任公司","新能源技术","CNY 1600000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0016","Pinegate Analytics Co., Ltd.","松源数据科技有限公司","松源数据科技 | Pinegate Analytics","CN","中国大陆","91340100SQJ000016","ACTIVE","杭州市商情测试路 116 号","2022-05-17","有限责任公司","医疗器械","CNY 1700000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0017","Quartzbay Analytics Co., Ltd.","晶湾数据科技有限公司","晶湾数据科技 | Quartzbay Analytics","CN","中国大陆","91340100SQJ000017","ACTIVE","合肥市商情测试路 117 号","2006-06-18","有限责任公司","企业软件服务","CNY 1800000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
